허걱 너도 놀랐니,놀랐니
헐 너 놀랐냐,놀랐니
놀랐었냐,놀랐니
조금 놀랐냐,놀랐니
놀랐니,놀랐니
정말 놀랐었니,놀랐니
정말 놀랐었니,놀랐니
진짜 놀랐었니,놀랐니
너 정말 놀랐니,놀랐니
너도 진심 놀랐구나,놀랐니
너도 놀랐니,놀랐니
너 진짜 놀랐냐,놀랐니
너도 놀랐네,놀랐니
너도 놀랐구나,놀랐니
너 놀랐냐,놀랐니
조금 놀랐냐,놀랐니
놀랐니 너,놀랐니
정말 놀랐었냐 너,놀랐니
정말 놀랐었니 너,놀랐니
진짜 진심 놀랐었냐 너도,놀랐니
정말 놀랐니 너,놀랐니
놀랐구나 너도,놀랐니
놀랐네 너도,놀랐니
진짜 놀랐냐 너,놀랐니
놀랐네 너도,놀랐니
놀랐구나 너도,놀랐니
너 좀 놀랐냐,놀랐니
너 상당히 놀랐냐,놀랐니
상당히 놀랐구나 너,놀랐니
진짜 너도 놀랐었냐,놀랐니
정말 놀랐니 너,놀랐니
정말 놀랐구나 너도,놀랐니
놀랐네 너도 정말,놀랐니
놀랐냐 너도 진짜,놀랐니
놀랐네 너도 진짜,놀랐니
놀랐구나 너도 정말,놀랐니
좀 너 놀랐냐,놀랐니
상당히 너 놀랐냐,놀랐니
아 너도 놀랐냐,놀랐니
아 너도 진심 놀랐었냐,놀랐니
아 너도 놀랐니,놀랐니
놀랐니 아 너도,놀랐니
아 너도 놀랐었냐,놀랐니
아 놀랐니 너도,놀랐니
상당히 너 놀랐나보네,놀랐니
아 너도 놀랐나보네,놀랐니
아 너도 진심 놀랐나보네,놀랐니
아 너도 놀랐나보네,놀랐니
놀랐나보네 아 너도,놀랐니