뭘 먹나,고민
또 뭐 입냐,고민
어떻게 해야 될까,고민
어떻게 할지 좀 알려줘,고민
어떻게 할지 알려주면 좋겠어,고민
어떻게 할까,고민
어떻게 하지,고민
어떻게 하면 좋을까,고민
너도 고민 있어,고민
너도 고민 있니,고민
둘 중 뭐가 나아,고민
그 것 중에서 뭐가 낫니,고민

치킨이랑 피자 중에 뭐 먹을까,고민
치킨이랑 밥 중에 뭐 먹을까,고민
콜라랑 커피 중에 어떤거 마실까,고민
제육볶음이랑 보쌈이랑 뭐가 좋아,고민
사이다랑 콜라 중에 뭐가 나아,고민
밥이랑 라면 중에 뭐가 나아,고민
중에 뭐 나아,고민
중에 뭐 먹을까,고민
중에 뭐 좋을까,고민
중에 뭐 나으려나,고민
게임이랑 노래 중에 뭐 할까,고민
햄버거랑 라면 중에 뭐 먹을까,고민
밥이랑 라면 중에 뭐 먹을 지 골라줘,고민
고백할까 고민 중,고민
그 게 너무 고민 되서 문제지,고민
그 게 너무 고민이 되어서 문제라니까,고민
괜찮니,고민
괜찮아 보이니,고민
그 거 먹을까,고민
그 거 살까,고민
그 중에 어떤거,고민
그니까 뭐 먹을지 모르겠네,고민
그럼,고민
그럼 어떻게 하는 게 좋을까,고민
그럼 어떻게 하지,고민
너는 어때,고민
너는 어떤데,고민
매직할까,고민
먹을까,고민
무슨 선물이 좋을까,고민
부모님께 무슨 선물 드려야 할까,고민
뭐 어떻게 할지 모르겠다,고민
살까,고민
생일에 뭘 선물할까,고민
어때,고민
어떠니,고민
어떤 것 같아,고민
어떤게 좋아,고민
염색할까,고민
이 거 괜찮니,고민
이 거 괜찮아,고민
이 거 어때,고민
이 거 어떠니,고민
친구 집 갈까 고민 중,고민
친구 집 갈까 말까 고민 중이지,고민
탈색할까,고민
파마할까,고민
할까,고민
갈까 말까,고민
갈까,고민
가야 할까,고민
할까 말까,고민
살까 말까,고민
해야하나,고민
해야 하나,고민
할까 말까 고민이야,고민
고민된다,고민
고민 되는데 어떻게 하지,고민
이럴 땐 어떻게 해야해,고민
이런 상황 어떻게 하는게 좋을까,고민
해야 하나 말아야 하나 모르겠네,고민
어떻게 할지 모르겠다,고민
마라톤 나가볼까,고민
점심 메뉴 좀 골라줘,고민
점심 메뉴 고르는 거 힘드네,고민
재취직 될까,고민
그래도 되는 걸까,고민
그게 되려나,고민
아마 안될 것 같은데 될까,고민
말 해도 될까,고민
고민 있는데 말 해도 될까,고민
사실 말 할 게 있는데 말 해도 될까,고민
해도 될까,고민
되려나,고민
먹어도 되려나,고민
구박하면서 엄청 일 시켜,고민
모처럼 생각나서,고민
저 사람이 왜 자꾸 볼까,고민
주말에 놀 거 추천,고민
주말에 뭐 하고 놀까,고민
진정으로 즐거운 게 뭘까,고민
챙길게 너무 많아,고민
길거리에서 연락처 물어보면 줘도 되나,고민
꼴 사나워질 것 같은데,고민
나 사랑하니,고민
나 어때,고민
나 여기서 뭐하는 거지,고민
나는 그냥저냥 사는 거 같아,고민
나는 누구인가,고민
나는 뭘 잘할까,고민
나는 왜 이렇게 태어났을까,고민
나는 왜 태어났을까,고민
나는 잘 할줄 아는 게 없는 것 같아,고민
나는 좋아하는 게 뭘까,고민
나는 좋은데 ,고민
나 은근 무시하는 애 있어,고민
나 이상한가,고민
나 이상해,고민
나 잘 살 수 있겠지,고민
나 잘생겼지,고민
나 잘하고 있는 건지 모르겠어,고민
나 잘하고 있는 걸까,고민
나 잘하는 게 없어,고민
나 잘하는게 없는거같아,고민
나 잘할 수 있을까,고민
나랑 상관 없는 이야기들,고민
나랑 있는게 힘들었나봐,고민
나를 바꿀 수 있는 건 뭐가 있을까,고민
나를 친구로 생각 안했나봐,고민
나를 힘들게 하는 사람인데 붙잡고 싶어,고민
나만 기다렸나봐,고민
나중에 뭐하고 먹고 사냐,고민
나중에 뭐할까 고민이야,고민
남들에게 인정받으려면 어떻게 해야 돼,고민
남들이 날 욕하는 거 같아,고민
남들이 다 손가락질 하는 거 같아,고민
남의 눈을 너무 신경써,고민
내 능력이 너무 모자라,고민
내 문제는 뭘까,고민
내 문제점이 뭘까,고민
내 잘못이 뭔지 모르겠어,고민
내 잘못인 거 같은데 말을 못하겠어,고민
내 잘못인 거 같은데 어떻게 털어놓지,고민
내 지인한테 내 험담했대,고민
내 짝은 어디있을까,고민
내 친구에게 내 험담을 하다니,고민
내 편이 없는 거 같아,고민
내 편이라고는 하나도 없는 거 같아,고민
내가 그르친 거 같아,고민
내가 기대를 너무 많이 했나봐,고민
내가 나빴네,고민
내가 너무 방심했어,고민
내가 너무 생각없이 말했어,고민
내가 다른 무슨 말을 하겠어,고민
내가 만족을 못해,고민
내가 많이 부족한가,고민
내가 말하면 왜 비난만 할까,고민
내가 멍청한거지,고민
내가 무능력하게 느껴져,고민
내가 뭘 잘못했을까,고민
내가 뭘 좋아하는지 잘하는지 모르겠어,고민
내가 바보지,고민
내가 부족하니까 이렇게 밖에 안된거겠지,고민
내가 불효녀야,고민
내가 불효자야,고민
내가 아무것도 아닌 사람 같아,고민
내가 왜 해야하는지 모르겠어,고민
내가 이상한 건가,고민
내가 이상한 사람같아,고민
내가 이상한가,고민
내가 잘못한 걸까,고민
내가 잘못했다는데 뭔지 안 알려줘,고민
내기해서 이겼는데 소원 뭐하지,고민
너무 기대했나봐,고민
너무 마른 거 같아,고민
너무 많은 걸 바래,고민
너무 잘하는 후배가 들어왔어,고민
너무 초라해지는 느낌이야,고민
누가 내 욕하는 거 같아,고민
다 끝나가니 좋을줄만 알았는데,고민
다 마음에 안 들어,고민
다 알고 있을까,고민
때려 치고 싶다,고민
말을 못하겠어,고민
말을 좀 잘 하고 싶어,고민
먹을까 참을까,고민
먼저 잘게 잘자,고민
모르는 걸까 모르는 철 하는 걸까,고민
모르는 게 너무 많아,고민
목 마르다,고민
목 말라,고민
목 탄다,고민
목걸이 선물이 좋겠다,고민
목걸이 선물해볼까,고민
목돈 만들기,고민
목소리 좋은 사람이 좋아,고민
목이 바싹바싹 탄다,고민
무슨 향수가 좋을까,고민
뭐 먹을 거 없나,고민
뭐 먹을까,고민
뭐 먹지,고민
뭐 물어 볼까,고민
뭐 볼까,고민
뭐부터 바꿔야 할까,고민
뭐하고 놀지,고민
뭐하고 살지,고민
뭐하면 시간이 잘 갈까,고민
뭐하면서 노는 게 좋을까,고민